gndId,preferredName,bio,dateOfBirth,dateOfDeath,placeOfBirth,placeOfDeath,professionOrOccupation,sameAs
https://d-nb.info/gnd/116891025,"Lembert, Johann Wenzel",Königl. Würtembergischer Hofschauspieler,1779-03-21,1851-06-06,https://d-nb.info/gnd/4076310-9,https://d-nb.info/gnd/4039880-8,_:bn10160139,http://id.loc.gov/rwo/agents/nr96023014
https://d-nb.info/gnd/116891025,"Lembert, Johann Wenzel",Königl. Würtembergischer Hofschauspieler,1779-03-21,1851-06-06,https://d-nb.info/gnd/4076310-9,https://d-nb.info/gnd/4039880-8,_:bn10160139,http://viaf.org/viaf/35219796
https://d-nb.info/gnd/116891025,"Lembert, Johann Wenzel",Königl. Würtembergischer Hofschauspieler,1779-03-21,1851-06-06,https://d-nb.info/gnd/4076310-9,https://d-nb.info/gnd/4039880-8,_:bn10160139,http://www.wikidata.org/entity/Q17352902
https://d-nb.info/gnd/116891025,"Lembert, Johann Wenzel",Königl. Würtembergischer Hofschauspieler,1779-03-21,1851-06-06,https://d-nb.info/gnd/4076310-9,https://d-nb.info/gnd/4039880-8,_:bn10160139,https://isni.org/isni/0000000066764506
https://d-nb.info/gnd/116987367,"Ziegler, Friedrich W.",Dt. Dramatiker und Schauspieler,1759,1827-09-21,https://d-nb.info/gnd/4008065-1,https://d-nb.info/gnd/4076329-8,_:bn10182459,http://viaf.org/viaf/15534193
https://d-nb.info/gnd/116987367,"Ziegler, Friedrich W.",Dt. Dramatiker und Schauspieler,1759,1827-09-21,https://d-nb.info/gnd/4008065-1,https://d-nb.info/gnd/4076329-8,_:bn10182459,https://isni.org/isni/0000000110216938
https://d-nb.info/gnd/116987367,"Ziegler, Friedrich W.",Dt. Dramatiker und Schauspieler,1759,1827-09-21,https://d-nb.info/gnd/4008065-1,https://d-nb.info/gnd/4076329-8,_:bn10182459,http://www.wikidata.org/entity/Q89747
https://d-nb.info/gnd/116987367,"Ziegler, Friedrich W.",Dt. Dramatiker und Schauspieler,1759,1827-09-21,https://d-nb.info/gnd/4008065-1,https://d-nb.info/gnd/4076329-8,_:bn10182459,http://id.loc.gov/rwo/agents/no92033578
https://d-nb.info/gnd/116989114,"Meddlhammer, Albin Johann Baptist von",,1777-08-26,1838-02-08,https://d-nb.info/gnd/4037446-4,https://d-nb.info/gnd/4005728-8,_:bn10182978,http://viaf.org/viaf/27836704
https://d-nb.info/gnd/116989114,"Meddlhammer, Albin Johann Baptist von",,1777-08-26,1838-02-08,https://d-nb.info/gnd/4037446-4,https://d-nb.info/gnd/4005728-8,_:bn10182978,http://www.wikidata.org/entity/Q781097
https://d-nb.info/gnd/116989114,"Meddlhammer, Albin Johann Baptist von",,1777-08-26,1838-02-08,https://d-nb.info/gnd/4037446-4,https://d-nb.info/gnd/4005728-8,_:bn10182978,https://isni.org/isni/0000000109619449
https://d-nb.info/gnd/117464406,"Vogel, Wilhelm",,1772-09-24,1843-03-15,https://d-nb.info/gnd/4037372-1,https://d-nb.info/gnd/4066009-6,_:bn10241681,http://id.loc.gov/rwo/agents/no2003115912
https://d-nb.info/gnd/117464406,"Vogel, Wilhelm",,1772-09-24,1843-03-15,https://d-nb.info/gnd/4037372-1,https://d-nb.info/gnd/4066009-6,_:bn10241681,http://viaf.org/viaf/32774667
https://d-nb.info/gnd/117464406,"Vogel, Wilhelm",,1772-09-24,1843-03-15,https://d-nb.info/gnd/4037372-1,https://d-nb.info/gnd/4066009-6,_:bn10241681,http://www.wikidata.org/entity/Q61971934
https://d-nb.info/gnd/117464406,"Vogel, Wilhelm",,1772-09-24,1843-03-15,https://d-nb.info/gnd/4037372-1,https://d-nb.info/gnd/4066009-6,_:bn10241681,https://isni.org/isni/0000000107794243
https://d-nb.info/gnd/117767360,"Bayard, Jean-François-Alfred",,1796-03-17,1853-02-20,https://d-nb.info/gnd/4315429-3,https://d-nb.info/gnd/4044660-8,_:bn702071,https://www.filmportal.de/EAA34FFBAF994FEA932F388ADB45CE9F
https://d-nb.info/gnd/117767360,"Bayard, Jean-François-Alfred",,1796-03-17,1853-02-20,https://d-nb.info/gnd/4315429-3,https://d-nb.info/gnd/4044660-8,_:bn702071,https://isni.org/isni/000000010855417X
https://d-nb.info/gnd/117767360,"Bayard, Jean-François-Alfred",,1796-03-17,1853-02-20,https://d-nb.info/gnd/4315429-3,https://d-nb.info/gnd/4044660-8,_:bn702071,http://viaf.org/viaf/14905216
https://d-nb.info/gnd/117767360,"Bayard, Jean-François-Alfred",,1796-03-17,1853-02-20,https://d-nb.info/gnd/4315429-3,https://d-nb.info/gnd/4044660-8,_:bn702071,http://id.loc.gov/rwo/agents/n82113981
